field,tile,band,pointing,exptime,MJD,magzpt_1,magzpt_2,magzpt_3,magzpt_4,seeing_1,seeing_2,seeing_3,seeing_4,deprec_mf,deprec_1,deprec_2,deprec_3,deprec_4,filename,project,obj_band,tag
EN,1,K,1_1,5.00000,53505.42234,23.98820,23.99170,23.96310,23.98210,1.20181,1.05638,1.05430,1.20513,0,0,0,0,0,w20050515_01342_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_0,5.00000,53505.44329,23.97190,23.96490,23.92080,23.94920,1.14153,0.99229,1.04034,1.22558,0,0,0,0,0,w20050515_01466_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_0,5.00000,53505.45444,24.01900,24.02040,23.99030,24.01160,1.11469,1.01529,1.04040,1.20909,0,0,0,0,0,w20050515_01566_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_1,5.00000,53505.46546,23.91970,23.89910,23.88420,23.91960,1.15468,1.02004,1.06251,1.22751,0,0,0,0,0,w20050515_01666_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_1,5.00000,53505.47693,23.78840,23.78010,23.76030,23.77110,1.16710,1.03404,1.07018,1.22796,0,0,0,0,0,w20050515_01766_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_0,5.00000,53505.48848,23.70810,23.69340,23.64990,23.69260,1.21932,1.09777,1.16373,1.30576,0,0,0,0,0,w20050515_01866_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_0,5.00000,53505.49973,23.45300,23.45200,23.44700,23.44200,1.18960,1.04100,1.10200,1.30600,6,101,101,101,101,w20050515_01966_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_1,5.00000,53505.51071,23.58300,23.58200,23.57700,23.57200,1.20018,1.06700,1.10672,1.26479,100,11,11,11,11,w20050515_02066_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_1,5.00000,53505.52182,23.80910,23.80800,23.78110,23.79050,1.22670,1.08906,1.15836,1.31024,0,0,0,0,0,w20050515_02166_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_0,5.00000,53505.54692,23.94300,23.93390,23.89550,23.91250,1.14967,1.00736,1.06199,1.24229,0,0,0,0,0,w20050515_02322_sf_st,U/UKIDSS/DXS1,K,EN01K
